component,location,carrier,0
Generator,EU,solid biomass,7.498750343445378e-05
Generator,FI1 0,load,0.0
Generator,FI1 0,nuclear,0.4426437101000137
Generator,FI1 0,offwind-ac,0.3927857691782579
Generator,FI1 0,offwind-dc,0.5279717204044081
Generator,FI1 0,onwind,0.20165585802655842
Generator,FI1 0,residential rural solar thermal,0.004366111786577013
Generator,FI1 0,residential urban decentral solar thermal,0.005200565943940959
Generator,FI1 0,ror,0.523414653882769
Generator,FI1 0,services rural solar thermal,0.0037415043621621714
Generator,FI1 0,services urban decentral solar thermal,0.004514676248321396
Generator,FI1 0,solar,0.09430366826060302
Generator,FI1 0,solar rooftop,0.07836593828108118
Generator,FI1 0,solar-hsat,0.09747807657891018
Generator,FI1 0,urban central solar thermal,0.005631707239861977
Generator,FR0 0,load,0.0
Generator,FR0 0,nuclear,0.22928503844024548
Generator,FR0 0,offwind-ac,0.423927791706228
Generator,FR0 0,offwind-dc,0.5452583474684408
Generator,FR0 0,onwind,0.21402837321941878
Generator,FR0 0,residential rural solar thermal,0.020618501792823145
Generator,FR0 0,residential urban decentral solar thermal,0.02531754786056993
Generator,FR0 0,ror,0.4708997541235481
Generator,FR0 0,services rural solar thermal,0.01855712403442555
Generator,FR0 0,services urban decentral solar thermal,0.022370321639517757
Generator,FR0 0,solar,0.12739622516334345
Generator,FR0 0,solar rooftop,0.09662679528108074
Generator,FR0 0,solar-hsat,0.11166842802942749
Generator,FR0 0,urban central solar thermal,0.020663778690676194
Generator,FR5 0,load,0.0
Generator,FR5 0,offwind-ac,0.17737198019883532
Generator,FR5 0,offwind-dc,0.24470699919365446
Generator,FR5 0,onwind,0.11161287451083776
Generator,FR5 0,residential rural solar thermal,0.016664615166778893
Generator,FR5 0,residential urban decentral solar thermal,
Generator,FR5 0,ror,0.37549007960482006
Generator,FR5 0,services rural solar thermal,0.01545156407669021
Generator,FR5 0,services urban decentral solar thermal,0.01363178763365914
Generator,FR5 0,solar,0.14882838158853634
Generator,FR5 0,solar rooftop,0.12901386317748653
Generator,FR5 0,solar-hsat,0.11009727886725347
Generator,GB2 0,load,0.0
Generator,GB2 0,nuclear,0.2846765821196687
Generator,GB2 0,offwind-ac,0.525351381740071
Generator,GB2 0,offwind-dc,0.42475170172158044
Generator,GB2 0,onwind,0.34790286128360176
Generator,GB2 0,residential rural solar thermal,0.01274405835823842
Generator,GB2 0,residential urban decentral solar thermal,0.014569337518284271
Generator,GB2 0,ror,0.12239383644801488
Generator,GB2 0,services rural solar thermal,0.010856449826432933
Generator,GB2 0,services urban decentral solar thermal,0.013442008569968421
Generator,GB2 0,solar,0.0951302276478329
Generator,GB2 0,solar rooftop,0.07495090615993356
Generator,GB2 0,solar-hsat,0.08999860573680309
Generator,GB2 0,urban central solar thermal,0.012149235545772703
Generator,GB3 0,load,0.0
Generator,GB3 0,nuclear,0.25964694594945903
Generator,GB3 0,offwind-ac,0.4505063308540498
Generator,GB3 0,offwind-dc,0.4537808845651117
Generator,GB3 0,onwind,0.25726552239336736
Generator,GB3 0,residential rural solar thermal,0.008559886450485861
Generator,GB3 0,residential urban decentral solar thermal,0.008007294631860904
Generator,GB3 0,ror,0.11632180891897549
Generator,GB3 0,services rural solar thermal,0.007454051515964582
Generator,GB3 0,services urban decentral solar thermal,0.0071024832536580405
Generator,GB3 0,solar,0.07896084591217764
Generator,GB3 0,solar rooftop,0.060997102092183356
Generator,GB3 0,solar-hsat,0.07620419156837366
Generator,GB3 0,urban central solar thermal,0.004723138087672938
Generator,GR0 0,load,0.0
Generator,GR0 0,offwind-ac,0.22190428518023356
Generator,GR0 0,offwind-dc,0.30698537641065254
Generator,GR0 0,onwind,0.13030908797873111
Generator,GR0 0,residential rural solar thermal,0.022133513610697757
Generator,GR0 0,residential urban decentral solar thermal,0.027558019415731487
Generator,GR0 0,ror,0.21379388942774005
Generator,GR0 0,services rural solar thermal,0.02029666686376619
Generator,GR0 0,services urban decentral solar thermal,0.024527002008174183
Generator,GR0 0,solar,0.12107469825195993
Generator,GR0 0,solar rooftop,0.1453989121112035
Generator,GR0 0,solar-hsat,0.12290638750791678
Generator,GR0 0,urban central solar thermal,0.01466498175086479
Generator,HR0 0,load,0.0
Generator,HR0 0,offwind-ac,0.17198134042457294
Generator,HR0 0,offwind-dc,0.22678834515283652
Generator,HR0 0,onwind,0.08953067750525591
Generator,HR0 0,residential rural solar thermal,0.016793900713564854
Generator,HR0 0,residential urban decentral solar thermal,0.017103959677185147
Generator,HR0 0,ror,0.4670880621878967
Generator,HR0 0,services rural solar thermal,0.014645640879580998
Generator,HR0 0,services urban decentral solar thermal,0.015009869676842718
