name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
SE1 0 0 solar rooftop,SE1 0 low voltage,PQ,,0.0,0.0,True,0.0,19082.74932730033,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.01951768684045001,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,220.96270213951942
SI0 0 0 solar rooftop,SI0 0 low voltage,PQ,,0.0,0.0,True,0.0,4532.126473654757,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.020351437496752924,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,180.04408014585968
SK0 0 0 solar rooftop,SK0 0 low voltage,PQ,,0.0,0.0,True,0.0,10956.37042630918,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.02074272420587409,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1165.4900806240362
XK0 0 0 solar rooftop,XK0 0 low voltage,PQ,,0.0,0.0,True,0.0,3272.9862540555787,,0.0,1.0,,-inf,inf,0.0,1.0,solar rooftop,0.020905343441563508,0.0,True,0,40.0,34946.34552358866,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1434.044840903415
AL0 0 load,AL0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00976716558,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
AT0 0 load,AT0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00945274295,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
BA0 0 load,BA0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01047826455,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
BE0 0 load,BE0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01042484782,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
BG0 0 load,BG0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01094884517,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
CH0 0 load,CH0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00919577607,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
