component,location,carrier,0
Generator,DK1 0,offwind-ac,0.48980793343411827
Generator,DK1 0,offwind-dc,0.4624459304007373
Generator,DK1 0,onwind,0.4537034267950263
Generator,DK1 0,residential rural solar thermal,0.01352184348236652
Generator,DK1 0,residential urban decentral solar thermal,0.017841819451671848
Generator,DK1 0,services rural solar thermal,0.015922382813181445
Generator,DK1 0,services urban decentral solar thermal,0.014738524175058207
Generator,DK1 0,solar,0.1117601618784528
Generator,DK1 0,solar rooftop,0.10089799402088594
Generator,DK1 0,solar-hsat,0.1300110656653616
Generator,DK1 0,urban central solar thermal,0.017882353066457097
Generator,EE0 0,load,0.0
Generator,EE0 0,offwind-ac,0.3753053620819018
Generator,EE0 0,offwind-dc,0.408883297227984
Generator,EE0 0,onwind,0.28609881470588844
Generator,EE0 0,residential rural solar thermal,0.013875358823112102
Generator,EE0 0,residential urban decentral solar thermal,0.015202298107790514
Generator,EE0 0,services rural solar thermal,0.014387194413713634
Generator,EE0 0,services urban decentral solar thermal,0.013404336267445957
Generator,EE0 0,solar,0.10776765538113427
Generator,EE0 0,solar rooftop,0.10558660351002598
Generator,EE0 0,solar-hsat,0.12789189127295766
Generator,EE0 0,urban central solar thermal,0.012282588643092096
Generator,ES0 0,load,0.0
Generator,ES0 0,nuclear,0.643540353069339
Generator,ES0 0,offwind-ac,0.2837313986224835
Generator,ES0 0,offwind-dc,0.4887573544772536
Generator,ES0 0,onwind,0.18138328829962636
Generator,ES0 0,residential rural solar thermal,0.03539007331356746
Generator,ES0 0,residential urban decentral solar thermal,0.04060335861442716
Generator,ES0 0,ror,0.23442384615384615
Generator,ES0 0,services rural solar thermal,0.04083512620371693
Generator,ES0 0,services urban decentral solar thermal,0.036045413666602036
Generator,ES0 0,solar,0.16623767410865362
Generator,ES0 0,solar rooftop,0.1680651204909484
Generator,ES0 0,solar-hsat,0.2055324732322999
Generator,ES0 0,urban central solar thermal,0.0366050584629982
Generator,ES6 0,load,0.0
Generator,ES6 0,nuclear,0.6456601331054275
Generator,ES6 0,offwind-ac,0.23967276410188476
Generator,ES6 0,offwind-dc,0.29864654427578435
Generator,ES6 0,onwind,0.24711086899334267
Generator,ES6 0,residential rural solar thermal,0.015214842858169762
Generator,ES6 0,residential urban decentral solar thermal,0.024986278301617686
Generator,ES6 0,ror,0.23893420947463834
Generator,ES6 0,services rural solar thermal,0.028346192297413256
Generator,ES6 0,services urban decentral solar thermal,0.020950645042589096
Generator,ES6 0,solar,0.14998686691201213
Generator,ES6 0,solar rooftop,0.16171324649899627
Generator,ES6 0,solar-hsat,0.1858689562721114
Generator,ES6 0,urban central solar thermal,0.011351531141388585
Generator,EU,biogas,2.4076378278325515e-05
Generator,EU,gas,0.12497405758166401
Generator,EU,load,0.0
Generator,EU,oil primary,0.3495448436279593
Generator,EU,solid biomass,0.00011415525103315706
Generator,FI1 0,load,0.0
